2317596	Zuguru	Zuguru		10.06667	6.43333	P	PPL	NG		31	27020			0		304	Africa/Lagos	2016-01-30
2317597	Zuguruma	Zuguruma	Zugurma,Zuguruma	9.45896	4.96701	P	PPL	NG		31	27016			0		96	Africa/Lagos	2022-06-18
2317598	Zuguntane	Zuguntane		11.33333	4.53333	P	PPL	NG		40	517	51709		0		194	Africa/Lagos	2016-06-22
2317599	Zugumi Peaks	Zugumi Peaks	Zugumi Peaks	10.15903	12.95225	T	PK	NG		35	2007			0		1164	Africa/Lagos	2018-12-04
2317600	Zugumi	Zugumi		10.51281	12.73082	P	PPL	NG		27				0		455	Africa/Lagos	2009-01-15
2317601	Jeka Fada	Jeka Fada	Jeka Fada,Zugum	12.7016	8.63971	P	PPL	NG		24				0		408	Africa/Lagos	2012-01-18
2317602	Zugu Hill	Zugu Hill	Zugu Hill	11.76286	4.49836	T	HLL	NG		40	514	51407		0		246	Africa/Lagos	2018-12-04
2317603	Zugu	Zugu		12.09304	4.84923	P	PPL	NG		57				0		230	Africa/Lagos	2009-06-11
2317604	Zugu	Zugu		11.85192	5.33115	P	PPL	NG		57	804	80404		0		320	Africa/Lagos	2016-06-22
2317605	Zugu	Zugu		11.79739	4.55702	P	PPL	NG		57				0		223	Africa/Lagos	2009-06-17
2317606	Zugu	Zugu	Zugu,Zugulibba	11.79776	4.48266	P	PPL	NG		40	514	51401		0		193	Africa/Lagos	2016-06-22
2317607	Zugu	Zugu		11.18389	11.87279	P	PPL	NG		44	708	70803		0		416	Africa/Lagos	2016-06-22
2317608	Zugu	Zugu		11.17032	11.87766	P	PPL	NG		44	708	70803		0		391	Africa/Lagos	2016-06-22
2317609	Zugea	Zugea		12.09705	10.67897	P	PPL	NG		46	5007	BA0716		0		371	Africa/Lagos	2016-06-22
2317610	Shugbe	Shugbe	Shugbe,Zugbe	8.00834	7.24958	P	PPL	NG		41	23004			0		152	Africa/Lagos	2023-01-11
2317611	Zugai	Zugai		12.557	8.31205	P	PPL	NG		39	18015	JI2406		0		484	Africa/Lagos	2016-06-22
2317612	Zugace	Zugace	Zugace,Zugachi	12.05848	8.85139	P	PPL	NG		29	20016	KN1311		0		427	Africa/Lagos	2016-06-22
2317613	Zuga	Zuga		11.51079	9.14382	P	PPL	NG		29	20002	KN3710		0		471	Africa/Lagos	2016-06-22
2317614	Zuefawa	Zuefawa		10.73424	8.03179	P	PPL	NG		23	19021	KD2108		0		644	Africa/Lagos	2016-06-22
2317615	Zudei	Zudei	Zudei,Zuden	8.20898	10.79644	P	PPL	NG		43	35002			0		159	Africa/Lagos	2016-01-30
2317616	Zubuki	Zubuki		11.8345	10.0525	P	PPL	NG		46	5010	BA1011		0		384	Africa/Lagos	2016-06-22
2317617	River Zubai	River Zubai		11.72046	8.32229	H	STM	NG		29				0		457	Africa/Lagos	2009-08-19
2317618	Zuba	Zuba		9.09639	7.21278	P	PPL	NG		11	15003			0		390	Africa/Lagos	2016-01-30
2317619	Zua	Zua		7.41566	8.74351	P	PPL	NG		26	7005			0		121	Africa/Lagos	2016-01-30
2317620	Zua	Zua		7.06852	8.90251	P	PPL	NG		26	7022			0		149	Africa/Lagos	2016-01-30
