7012010	Ngaboru	Ngaboru		13.85083	5.58162	P	PPL	NG		51	604	60404		0		337	Africa/Lagos	2016-06-22
7012011	Ngaboru	Ngaboru		13.84426	5.58417	P	PPL	NG		51	604	60404		0		345	Africa/Lagos	2016-06-22
7012012	Marumaro	Marumaro		13.80081	5.65941	P	PPL	NG		51	604	60402		0		374	Africa/Lagos	2016-06-22
7012013	Bigal	Bigal		13.79943	5.70551	P	PPL	NG		51	604	60402		0		324	Africa/Lagos	2016-06-22
7012014	Gidanfako	Gidanfako		13.77336	5.69088	P	PPL	NG		51	604	60401		0		323	Africa/Lagos	2016-06-22
7012015	Tabani	Tabani		13.79625	5.72925	P	PPL	NG		51	604	60401		0		343	Africa/Lagos	2016-06-22
7012016	Tsuga	Tsuga		13.77559	5.73561	P	PPL	NG		51	604	60401		0		331	Africa/Lagos	2016-06-22
7012017	Gobruwa	Gobruwa		13.80515	5.74822	P	PPL	NG		51				0		366	Africa/Lagos	2009-11-28
7012018	Pampara	Pampara		13.7812	5.78149	P	PPL	NG		51	604	60401		0		352	Africa/Lagos	2016-06-22
7012019	Faru	Faru		13.77707	5.77408	P	PPL	NG		51	604	60401		0		355	Africa/Lagos	2016-06-22
7012020	Gidan Bizo	Gidan Bizo		13.76054	5.81435	P	PPL	NG		51	604	60401		0		317	Africa/Lagos	2016-06-22
7012021	Tudujamu	Tudujamu		13.75376	5.88959	P	PPL	NG		51				0		292	Africa/Lagos	2009-11-28
7012022	Gidan Fako	Gidan Fako		13.74072	5.87624	P	PPL	NG		51	604	60401		0		291	Africa/Lagos	2016-06-22
7012023	Gidan Akai	Gidan Akai		13.71613	5.92414	P	PPL	NG		51	604	60401		0		298	Africa/Lagos	2016-06-22
7012024	Rabamawa	Rabamawa		13.70003	5.91545	P	PPL	NG		51	604	60401		0		296	Africa/Lagos	2016-06-22
7012025	Gidan Bugaji	Gidan Bugaji		13.73606	5.99144	P	PPL	NG		51				0		308	Africa/Lagos	2009-11-28
7012026	Gungu	Gungu		13.73362	5.99695	P	PPL	NG		51				0		308	Africa/Lagos	2009-11-28
7012027	Gidan Shekaro	Gidan Shekaro		13.71953	5.98391	P	PPL	NG		51				0		301	Africa/Lagos	2009-11-28
7012028	Gidan Gado	Gidan Gado		13.70437	5.98296	P	PPL	NG		51	613	61310		0		292	Africa/Lagos	2016-06-22
7012029	Gobir	Gobir		13.69865	5.97607	P	PPL	NG		51	613	61310		0		288	Africa/Lagos	2016-06-22
7012030	Gidan Shikiel	Gidan Shikiel		13.68636	5.96282	P	PPL	NG		51	613	61310		0		289	Africa/Lagos	2016-06-22
7012031	Gilkoa	Gilkoa		13.69112	5.93866	P	PPL	NG		51	604	60403		0		304	Africa/Lagos	2016-06-22
7012032	Labau	Labau		13.67152	5.99599	P	PPL	NG		51	613	61310		0		287	Africa/Lagos	2016-06-22
7012033	Gidan Gago	Gidan Gago		13.66399	5.98158	P	PPL	NG		51	613	61310		0		288	Africa/Lagos	2016-06-22
7012034	Gidan Jeda	Gidan Jeda		13.69102	5.92721	P	PPL	NG		51	604	60401		0		313	Africa/Lagos	2016-06-22
7012035	Almudu	Almudu		13.71497	5.85727	P	PPL	NG		51	604	60401		0		287	Africa/Lagos	2016-06-22
7012036	Gidan Adarawa	Gidan Adarawa		13.6995	5.83872	P	PPL	NG		51	604	60401		0		284	Africa/Lagos	2016-06-22
